,importance
FT8_beta_power,0.0006496756285419929
C3_std,0.0006491736337860718
AF7_quartile_3,0.0006488817489061319
P8_min,0.0006484982437491931
TP7_beta_power,0.0006476322185287234
PO2_delta_rel_power,0.0006440588060414909
F6_kurtosis,0.0006420938230781021
F2_beta_rel_power,0.0006395236820714504
CPZ_delta_power,0.0006394700177107964
CP2_quartile_3,0.0006387808782789324
F5_beta_power,0.0006382870738623866
FC5_kurtosis,0.0006340705086363402
O2_alpha_power,0.0006282235017565624
PO8_median,0.0006282113126374531
TP7_delta_rel_power,0.000627189750267055
F8_alpha_power,0.0006246934437526283
FZ_alpha_power,0.0006233904246275264
PZ_alpha_power,0.000622505223026623
AF2_gamma_rel_power,0.0006216013224145135
F1_min,0.0006209349631980813
FC2_gamma_rel_power,0.0006197812675090513
O1_beta_power,0.0006177119686320414
F3_gamma_rel_power,0.0006158458260432032
Y_delta_power,0.0006148269767856654
C4_gamma_power,0.0006135246622458154
P6_gamma_power,0.0006094392144391335
PZ_max,0.0006087862011060581
CP3_gamma_rel_power,0.0006076504033060799
FC2_gamma_power,0.0006066523768694343
C6_beta_rel_power,0.0006058078780562876
FC2_mean,0.0006054885268089507
FC2_alpha_rel_power,0.0006036133642113374
FPZ_theta_rel_power,0.0006034908848108743
P2_kurtosis,0.0006033692234091226
CZ_max,0.0006027487459257464
PO8_beta_rel_power,0.0006003762444519501
FC6_theta_rel_power,0.000598431629296266
FP1_beta_rel_power,0.0005962053555243576
O2_skew,0.0005931555850420908
F2_alpha_power,0.0005929881786190578
CP3_alpha_power,0.0005923817902018995
T8_theta_power,0.0005900454247203583
F7_theta_rel_power,0.0005858401809281281
F5_mean,0.0005846255493373348
P2_mean,0.0005819643237929481
P3_alpha_power,0.000581675008080615
FT7_ptp,0.0005815896885918685
POZ_beta_power,0.0005771186289778935
FC2_quartile_1,0.000576772123449848
CP1_beta_power,0.000575469397563179
P4_theta_rel_power,0.0005754002607568384
T7_gamma_power,0.0005736938899222398
FC4_max,0.0005718238435260828
P3_alpha_rel_power,0.0005713788834801794
C2_mean,0.0005688302349877988
AFZ_delta_rel_power,0.0005653674951253376
CPZ_beta_rel_power,0.0005651585134441603
CP3_ptp,0.000563127979911083
F6_beta_rel_power,0.0005629419170611621
T8_gamma_power,0.0005623583274382192
P6_min,0.0005608900608012488
CP2_delta_power,0.0005600937956835772
CP6_theta_rel_power,0.0005589402689623248
POZ_theta_rel_power,0.0005579519231820051
PO1_quartile_1,0.0005573709970421326
P1_median,0.0005564740818002311
F3_delta_rel_power,0.0005553774179683761
O2_theta_rel_power,0.0005551065064641755
TP7_ptp,0.0005547650964494716
FT8_std,0.0005545848996315087
F7_median,0.0005545655814503436
C5_min,0.0005519338061100021
P2_gamma_rel_power,0.0005468887045563337
FP1_mean,0.000546740284622391
PO8_gamma_power,0.0005453222190134428
CP6_beta_power,0.0005410226658967912
FC2_quartile_3,0.0005405484173424117
FC3_delta_power,0.0005404160452406454
FC4_beta_rel_power,0.0005385231022098647
FC4_kurtosis,0.0005366239377154671
PO7_theta_rel_power,0.0005358501498323334
CP1_std,0.000534974601269699
C5_alpha_rel_power,0.0005348612967873334
F5_gamma_power,0.0005347871175240334
FC3_kurtosis,0.0005340908445514863
F3_alpha_rel_power,0.0005328530604123381
POZ_min,0.0005323937958628954
PO7_alpha_power,0.0005230524709091351
FC6_theta_power,0.0005228146116184533
FC5_quartile_1,0.0005223827929057279
P7_std,0.0005212918934081283
T8_min,0.0005194154194840411
P2_max,0.0005175154825539878
TP7_alpha_power,0.0005173251010672544
PO2_alpha_power,0.0005168518574337679
nd_beta_rel_power,0.0005163538881670011
FZ_quartile_1,0.000514681966192515
C6_max,0.0005141887260444367
FT7_alpha_power,0.0005135365728701765
O2_delta_rel_power,0.0005131886793671209
FC5_alpha_power,0.0005118584645115793
CP4_delta_power,0.0005114046022115076
F3_ptp,0.0005113181093178148
F8_kurtosis,0.0005093732358374621
FC4_theta_rel_power,0.0005078557999419844
FPZ_delta_rel_power,0.0005067226512167715
O2_median,0.0005060742918669971
FC2_beta_power,0.0005043159666128209
CP1_alpha_power,0.0005011014111969485
C6_median,0.0005004746572714958
CP2_kurtosis,0.0004996017350248179
FZ_min,0.0004984219583189096
F1_kurtosis,0.0004973574447131153
FC1_max,0.0004924544606308479
P1_quartile_3,0.0004922615207775628
F6_ptp,0.0004916367552948685
P8_delta_power,0.0004897381224699814
O1_delta_rel_power,0.0004885454540831513
F7_alpha_power,0.00048778106736153926
FC1_quartile_1,0.00048669789514629196
O2_kurtosis,0.00048481123523196084
FCZ_skew,0.00048354471726059345
PO1_beta_rel_power,0.000482547559021789
F5_ptp,0.00047965601681003304
C4_theta_rel_power,0.00047878670692482665
F7_ptp,0.00047820497244789514
F7_std,0.000474758617504102
FC5_theta_rel_power,0.0004741134017061499
FPZ_beta_rel_power,0.0004739634184609559
FC4_mean,0.00047340083675184827
